year,trees,grass,crops,shrub,built,bare
2015,29.493662,0.178420,16.735340,2.161179,42.958977,0.292990
2016,15.904154,0.026502,24.147591,1.437144,49.474236,0.851001
2017,17.114359,0.013455,22.109625,2.133944,49.838986,0.622839
2018,15.973223,0.043137,22.415336,1.457041,51.507635,0.440749
2019,19.811858,0.079669,19.579619,1.474736,50.634944,0.244797
2020,17.439886,0.031966,19.749477,1.957399,52.326426,0.319574
2021,16.210681,0.080566,21.268084,1.506294,52.459099,0.306771
2022,12.272724,0.033841,23.753077,1.529697,53.714561,0.527268
2023,18.271560,0.150368,20.454186,0.910528,51.635987,0.406011
2024,16.876657,0.120360,18.785537,1.482075,54.047998,0.513406
2025,11.419603,0.020386,20.612546,3.641298,55.403026,0.738877
2026,13.981819,0.251484,20.737472,1.313685,54.833355,0.704465
